global_q,page,section_q,modality,llm_only_correct,precision_correct,deterministic_label,evidence_status,evidence_source,comparison,blocking_reasons,chosen_option,question_crop_path,option_crop_paths,green_fractions,question_text_short
1,1,1,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_4_option.png,1:0.00032;2:0.00103;3:0.00100;4:0.00854,Select the set of letters that when sequentially placed in the blanks of the given letter series will complete the series. k_lmml_mk_mmk_lkkl_m
26,9,1,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q026_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q026_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q026_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q026_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q026_opt_4_option.png,1:0.00000;2:0.00000;3:0.00000;4:0.02720,"As of February 2020, who is the President of Sri Lanka?"
27,9,2,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q027_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q027_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q027_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q027_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q027_opt_4_option.png,1:0.00000;2:0.00000;3:0.02997;4:0.00000,"As on January 2020, Shri Bhupesh Baghel is the Chief Minister of which of the following states?"
28,10,3,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,2,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q028_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q028_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q028_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q028_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q028_opt_4_option.png,1:0.00000;2:0.03350;3:0.00000;4:0.00000,Name the physicist who is credited with the discovery of the Neutron. This 1932 discovery led to his winning the Nobel Prize.
29,10,4,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q029_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q029_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q029_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q029_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q029_opt_4_option.png,1:0.00000;2:0.02120;3:0.00000;4:0.00000,"For which of the following sports was Dronavalli Harika, conferred with the prestigious Padma Shri award?"
30,10,5,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q030_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q030_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q030_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q030_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q030_opt_4_option.png,1:0.00000;2:0.02634;3:0.00000;4:0.00000,Who is the first and currently the only batsman to score double hundreds in four consecutive test series?
31,10,6,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q031_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q031_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q031_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q031_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q031_opt_4_option.png,1:0.00000;2:0.02223;3:0.00000;4:0.00000,"Kolathunadu, Valluvanad and Thekkumkoor were ancient small-time kingdoms in which state of India?"
32,10,7,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q032_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q032_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q032_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q032_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p10_q032_opt_4_option.png,1:0.00000;2:0.00000;3:0.02394;4:0.00000,Sir Thomas Roe came as an official ambassador from King James I of England to which Mughal emperor's court?
33,11,8,text_only,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q033_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q033_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q033_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q033_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q033_opt_4_option.png,1:0.01569;2:0.00000;3:0.00000;4:0.00000,Name the media company that purchased the legendary studio of 21st Century Fox.
34,11,9,text_only,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q034_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q034_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q034_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q034_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q034_opt_4_option.png,1:0.01545;2:0.00000;3:0.00000;4:0.00000,What is the more common name for solid carbon dioxide?
35,11,10,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q035_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q035_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q035_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q035_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q035_opt_4_option.png,1:0.00000;2:0.00000;3:0.02060;4:0.00000,Which of these bones is NOT a part of the human ear?
36,11,11,dice,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q036_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q036_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q036_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q036_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q036_opt_4_option.png,1:0.00000;2:0.03799;3:0.00000;4:0.00000,Which of the following books is NOT written by Salman Rushdie?
37,11,12,math_formula,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q037_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q037_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q037_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q037_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p11_q037_opt_4_option.png,1:0.00000;2:0.00000;3:0.02074;4:0.00000,The World Food Program (WFP) is the food assistance branch of the United Nations. Where is it headquartered?
38,12,13,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q038_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q038_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q038_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q038_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q038_opt_4_option.png,1:0.00000;2:0.01855;3:0.00000;4:0.00000,What is the uniform GST rate that has been fixed up for lottery prizes by the GST Council?
39,12,14,math_formula,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q039_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q039_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q039_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q039_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q039_opt_4_option.png,1:0.00000;2:0.00000;3:0.03297;4:0.00000,"From India, who inaugurated the Kartarpur Corridor and flagged off the first set of pilgrims to the final resting place of Sikhism founder Guru Nanak Dev?"
40,12,15,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q040_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q040_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q040_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q040_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q040_opt_4_option.png,1:0.00000;2:0.00000;3:0.01846;4:0.00000,In which year Sanchi was discovered after being abandoned for nearly 600 Years?
41,12,16,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q041_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q041_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q041_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q041_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q041_opt_4_option.png,1:0.00000;2:0.02479;3:0.00000;4:0.00000,Which of these words refers to the scientific study of domestic dogs?
42,12,17,text_only,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q042_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q042_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q042_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q042_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p12_q042_opt_4_option.png,1:0.02439;2:0.00000;3:0.00000;4:0.00000,"The Araku Valley, a tourist resort, is located near which of these cities of South India?"
43,13,18,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q043_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q043_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q043_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q043_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q043_opt_4_option.png,1:0.00000;2:0.02159;3:0.00000;4:0.00000,Prolific Indian painter Maqbool Fida Husain predominantly used which of these animals to depict a lively and free spirit in his paintings?
44,13,19,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q044_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q044_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q044_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q044_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q044_opt_4_option.png,1:0.00000;2:0.00000;3:0.00000;4:0.01695,The ruins of the ancient city of Hampi - capital of Vijayanagara - is located in which present day Indian state?
45,13,20,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q045_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q045_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q045_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q045_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q045_opt_4_option.png,1:0.00000;2:0.00000;3:0.00000;4:0.01863,Who among the following played the leading lady in the film 'Mission Mangal' that tells the dramatic true story of the women behind India's first mission to Mars?
46,13,21,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q046_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q046_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q046_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q046_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q046_opt_4_option.png,1:0.00000;2:0.00000;3:0.00000;4:0.02757,Which of these institutions fixes the Repo Rate and the Reverse Repo Rate in India?
47,13,22,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,2,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q047_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q047_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q047_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q047_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p13_q047_opt_4_option.png,1:0.00000;2:0.02339;3:0.00000;4:0.00000,Red worms have a structure named ______ which helps them in grinding their food.
48,14,23,text_only,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q048_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q048_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q048_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q048_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q048_opt_4_option.png,1:0.02408;2:0.00000;3:0.00000;4:0.00000,Name the author who won the Sahitya Akademi Award 2019 for his book - An Era of Darkness: The British Empire in India.
49,14,24,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q049_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q049_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q049_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q049_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q049_opt_4_option.png,1:0.00000;2:0.00000;3:0.03107;4:0.00000,"Veteran freedom fighter, social reformer and feminist Savithribai Phule hailed from which of the following states of India?"
50,14,25,math_formula,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q050_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q050_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q050_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q050_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q050_opt_4_option.png,1:0.00000;2:0.00000;3:0.00000;4:0.01296,"Sultan Qaboos bin Said of ________, the Arab world's longest-serving ruler and with a reputation for quiet diplomacy passed away recently (2020)."
51,14,1,text_only,2,2,2,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,2,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q051_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q051_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q051_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q051_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p14_q051_opt_4_option.png,1:0.00002;2:0.01290;3:0.00000;4:0.00000,"The area of Δ ABC is 44 cm². If D is the midpoint of BC and E is the midpoint of AB, then the area (in cm²) of ΔBDE is:"
